pathway_id,pathway_name,pathway_size,overlap,common_genes_in_pathway,p_value
R-HSA-71406,pathway_1939,53,10,"DLD,PDK4,LDHAL6B,ME2,FH,LDHAL6A,MDH2,ME3,LDHC,ME1",0.0001730909435594269
ajdiss_2pathway,pathway_2659,53,10,"BDNF,MMP1,IGF1R,CASP3,EGF,CDH1,CDH2,SLIT1,MMP3,MET",0.0001730909435594269
WP2864,pathway_1200,53,10,"F2R,CDKN1A,HELLS,NET1,CASP7,HSPD1,TNF,AKT1,APP,BCL3",0.0001730909435594269
WP4746,pathway_1508,74,12,"AKT3,SIRT6,TP53,RPTOR,MLST8,CASP9,PPARG,PIK3CA,SOS1,MTOR,PPARGC1A,FOXO1",0.0001828160206427937
Pathway_IL6,pathway_1701,74,12,"STAT1,STAT3,IL6ST,CDK9,AR,IL6,TEC,SOS1,AKT1,BTK,STAT5A,FOXO1",0.0001828160206427937
R-HSA-5633008,pathway_3524,44,9,"TP53,TP73,TP63,CASP2,BAX,BCL6,APAF1,CASP6,CASP10",0.00019134412250016174
WP3617,pathway_1262,35,8,"MMP1,CD40LG,CCND1,MMP2,IL6,CSF2,TNF,MMP3",0.0001921977967143129
WP2447,pathway_1159,35,8,"TP53,BCL2,CASP3,TNF,CASP9,CAT,BAX,APAF1",0.0001921977967143129
path:hsa04919,pathway_338,121,16,"AKT3,TP53,STAT1,CASP9,CCND1,PIK3CD,AKT2,ACTB,PFKM,PIK3CB,PIK3CA,AKT1,MTOR,PFKL,FOXO1,ACTG1",0.00020288487377679112
path:hsa03460,pathway_73,54,10,"POLN,RMI1,FANCA,POLH,FANCD2,POLI,TOP3A,BRCA2,TOP3B,POLK",0.000203470473782977
il2_1pathway,pathway_4237,54,10,"CISH,MAPKAPK2,STAT1,BCL2,STAT3,IRS2,STAM,PIK3CA,SOS1,STAT5A",0.000203470473782977
WP3286,pathway_1232,54,10,"PTEN,TP53,CASP3,MAPT,CCND1,PIK3CA,AKT1,APP,FOXO1,SP1",0.000203470473782977
WP706,pathway_1646,159,19,"FMO3,TP73,SP3,AR,CTCF,PRKAR1A,ECE1,BDNF,IL6,HSPD1,PPARGC1A,CASP3,CREM,GAPDH,NEUROD1,PPARGC1B,NGF,TNF,SP1",0.0002090129453596532
R-HSA-2151201,pathway_2061,27,7,"SIRT4,PPRC1,SIRT3,SIRT5,GABPA,PPARGC1B,PPARGC1A",0.0002090930124102765
Pathway_IL-7,pathway_3105,27,7,"STAT1,STAT3,IRS2,STAM,AKT1,STAT5A,FOXO1",0.0002090930124102765
Pathway_TGF_beta_Receptor,pathway_2381,173,20,"CDKN1A,TP73,PML,AR,CTCF,TGFB2,TP53,TGFB3,TGFBR1,FOXO1,ATF3,PIK3CA,FZR1,DCP1A,CCND1,TGFB1,AKT1,TAB1,SOX9,SP1",0.0002257229800663444
mitochondriapathway,pathway_3617,13,5,"BCL2,CASP9,BAX,AIFM1,APAF1",0.00022679374833118942
R-HSA-1679131,pathway_2963,13,5,"TLR7,TLR3,TLR9,TLR8,CNPY3",0.00022679374833118942
bcellsurvivalpathway,pathway_4073,13,5,"CASP3,CASP7,PIK3CA,AKT1,MTOR",0.00022679374833118942
SMP00654,pathway_386,45,9,"DLD,FH,GAPDH,LDHAL6A,G6PD,RPIA,GPI,PFKL,PGD",0.00022917933281666852
,pathway_2250,45,9,"AKT3,PIK3CD,AKT2,PIK3CB,PIK3CA,SOS1,STAT5A,AKT1,MAP3K1",0.00022917933281666852
R-HSA-6804757,pathway_3851,36,8,"AKT3,TP53,MLST8,RICTOR,MAPKAP1,AKT2,AKT1,MTOR",0.000236885923574376
faspathway,pathway_3247,20,6,"CASP3,CASP7,FASLG,MAP3K1,CASP8,CASP10",0.0002507348675578742
egfpathway,pathway_3964,20,6,"STAT1,EGF,STAT3,PIK3CA,SOS1,MAP3K1",0.0002507348675578742
WP530,pathway_1612,28,7,"IL4,IL6,CSF2,CD4,TGFB1,TNF,HLA-DRB1",0.0002674093581380342
R-HSA-6811558,pathway_2707,100,14,"EPGN,EGF,IRS2,INSR,TGFA,PIK3CD,KITLG,PIK3CB,PIK3CA,INS,AKT1,MET,HGF,FGF3",0.0002735699895997293
,pathway_3195,56,10,"GDF7,TGFB3,NODAL,GDF11,STAT3,AMHR2,GDF6,TGFBR1,TGFB1,TGFB2",0.00027776659051182264
R-HSA-6806003,pathway_3852,37,8,"AKT3,TP53,MLST8,RICTOR,MAPKAP1,AKT2,AKT1,MTOR",0.0002897351605207177
R-HSA-73933,pathway_3864,37,8,"PARG,LIG3,LIG1,TDG,PARP2,MUTYH,PARP1,POLB",0.0002897351605207177
path:hsa05340,pathway_5,37,8,"CD40LG,AIRE,RAG1,BLNK,CD4,BTK,RFX5,AICDA",0.0002897351605207177
gmcsf_pathway,pathway_3802,37,8,"CISH,STAT1,STAT3,CSF2,PIK3CA,SOS1,CCL2,STAT5A",0.0002897351605207177
path:hsa05216,pathway_321,37,8,"TP53,CDKN1A,CCND1,PPARG,BRAF,BAX,CDH1,POLK",0.0002897351605207177
R-HSA-8941332,pathway_1983,8,4,"AKT3,AKT1,CBFB,AKT2",0.0003071089768708806
R-HSA-111469,pathway_3290,8,4,"CASP9,APAF1,CASP7,CASP3",0.0003071089768708806
path:hsa05134,pathway_45,57,10,"TNF,CASP3,TLR2,CASP9,IL6,CASP7,HSPD1,TLR4,APAF1,CASP8",0.00032267803745643646
WP4970,pathway_1586,21,6,"CDKN1A,PPARG,IL6,INS,BCL2L11,PPARGC1A",0.00033695611123611013
nthipathway,pathway_3902,29,7,"TGFB3,TLR2,TGFBR1,TGFB1,TNF,DUSP1,TGFB2",0.00033811497301251917
WP4494,pathway_1441,29,7,"TGFB3,CD40LG,IL4,CSF2,CD4,TGFB1,TGFB2",0.00033811497301251917
WP4331,pathway_1420,29,7,"TGFB3,ANGPT1,KITLG,TGFBR1,TGFB1,AKT1,TGFB2",0.00033811497301251917
R-HSA-2424491,pathway_4638,29,7,"PIK3CB,PIK3CA,TREM2,SOS1,LAT,BTK,LCP2",0.00033811497301251917
SMP00031,pathway_421,14,5,"DERA,G6PD,RPIA,GPI,PFKL",0.0003389836964652859
SMP00518,pathway_764,14,5,"DERA,G6PD,RPIA,GPI,PFKL",0.0003389836964652859
SMP00520,pathway_807,14,5,"DERA,G6PD,RPIA,GPI,PFKL",0.0003389836964652859
SMP00519,pathway_765,14,5,"DERA,G6PD,RPIA,GPI,PFKL",0.0003389836964652859
fibrinolysispathway,pathway_4122,14,5,"F2R,PLAU,UBA1,PLAT,F2",0.0003389836964652859
R-HSA-198323,pathway_4346,14,5,"AKT3,CDKN1A,CASP9,AKT2,AKT1",0.0003389836964652859
R-HSA-168181,pathway_2940,79,12,"MAPKAPK2,TLR7,PELI1,TLR9,MAPKAPK3,TLR8,DUSP4,TAB2,DUSP7,TAB1,MAP3K1,TAB3",0.00034304462344697366
WP707,pathway_1647,68,11,"TP53,CASP3,CDKN1A,CASP9,CCND1,SMC1A,FANCD2,PML,BAX,APAF1,CASP8",0.00034368993878935544
Pathway_Oncostatin_M,pathway_1714,38,8,"TP53,STAT1,STAT3,IL6ST,RICTOR,SOS1,AKT1,MTOR",0.0003518306714389612
path:hsa04662,pathway_33,80,12,"AKT3,NFATC2,NFATC1,PIK3CD,AKT2,PIK3CB,PIK3CA,SOS1,AKT1,BTK,BLNK,NFATC3",0.00038637845631739435
path:hsa04920,pathway_31,69,11,"AKT3,STAT3,IRS2,AKT2,IRS4,TNF,MTOR,PPARGC1A,AKT1,LEP,LEPR",0.00039154420732297136
R-HSA-74713,pathway_3052,4,3,"IRS2,INS,INSR",0.0004158017593046206
R-HSA-6806942,pathway_2041,4,3,"MET,HGF,HGFAC",0.0004158017593046206
path:hsa00030,pathway_304,30,7,"DERA,G6PD,RPIA,GPI,PFKM,PFKL,PGD",0.000423043044594313
WP4561,pathway_1472,30,7,"AKT3,BDNF,MMP8,STAT3,MMP2,AKT2,AKT1",0.000423043044594313
path:hsa04926,pathway_25,129,16,"AKT3,INSL3,MMP1,VEGFC,ACTA2,MMP2,PIK3CD,AKT2,GNAS,PIK3CB,PIK3CA,SOS1,TGFB1,TGFBR1,AKT1,INSL5",0.00042396959091694
WP4871,pathway_1513,39,8,"PIK3CD,AKT2,KISS1R,PIK3CG,PIK3CB,AMH,PIK3CA,AKT1",0.00042434470592849627
path:hsa04370,pathway_207,59,10,"AKT3,MAPKAPK2,NFATC2,CASP9,MAPKAPK3,PIK3CD,AKT2,PIK3CB,PIK3CA,AKT1",0.0004307881835132502
R-HSA-2990846,pathway_4231,182,20,"PML,SP3,AR,SMC3,TP53,TOP1,MITF,HIC1,TDG,SMC6,RNF168,UBA2,PGR,PPARGC1A,PPARG,SMC1A,SMC5,SP100,PARP1,FOXL2",0.00044126055035257673
SMP00196,pathway_657,22,6,"DLD,ME2,LDHAL6A,LDHD,ME1,GRHPR",0.00044475815300001664
SMP00558,pathway_550,22,6,"DLD,ME2,LDHAL6A,LDHD,ME1,GRHPR",0.00044475815300001664
SMP00559,pathway_552,22,6,"DLD,ME2,LDHAL6A,LDHD,ME1,GRHPR",0.00044475815300001664
SMP00334,pathway_862,22,6,"DLD,ME2,LDHAL6A,LDHD,ME1,GRHPR",0.00044475815300001664
SMP00060,pathway_833,22,6,"DLD,ME2,LDHAL6A,LDHD,ME1,GRHPR",0.00044475815300001664
WP4300,pathway_1231,22,6,"IGF1,PTEN,EGF,STAT3,IL6,TLR4",0.00044475815300001664
SMP00212,pathway_395,22,6,"DLD,ME2,LDHAL6A,LDHD,ME1,GRHPR",0.00044475815300001664
path:hsa05130,pathway_261,196,21,"CASP7,TAB3,TNFSF10,TLR4,F2,F2R,CASP4,CASP9,IL6,FASLG,CASP8,ACTG1,CASP3,GAPDH,BAX,ACTB,TAB2,TMBIM6,TNF,TAB1,NLRP3",0.0004520403559215916
ptenpathway,pathway_4062,15,5,"PTEN,PIK3CA,SOS1,FASLG,AKT1",0.0004886005525258489
R-HSA-174824,pathway_3848,60,10,"LMF2,LDLR,VLDLR,LIPG,HDLBP,LSR,ANGPTL3,LPL,MYLIP,LPA",0.0004952043435953984
WP3865,pathway_1303,60,10,"IFNA1,TBKBP1,IFNK,CYLD,TBK1,TNF,IRF3,MAP3K1,CASP8,CASP10",0.0004952043435953984
erbb1_downstream_pathway,pathway_3412,106,14,"DUSP1,STAT1,EGF,STAT3,MLST8,RICTOR,BRAF,MAPKAP1,PIK3CB,PIK3CA,SOS1,AKT1,MTOR,MAP3K1",0.0005027178651268266
path:hsa04928,pathway_23,106,14,"BCL2,CASR,CDKN1A,GCM1,BRAF,GNAS,TNFSF11,SP1,PDE4D,PDE4B,GCM2,PDE4C,TRPV5,MMP16",0.0005027178651268266
Pathway_Alpha6Beta4Integrin,pathway_4588,71,11,"MST1R,TP73,IRS2,PIK3CD,AR,PIK3CG,PIK3CB,PIK3CA,MTOR,MET,AKT1",0.0005041312509937466
WP2828,pathway_1190,40,8,"TP53,MMP1,CDKN1A,EGF,CCND1,BRAF,MMP2,CDH1",0.0005085376324321109
R-HSA-451927,pathway_1999,40,8,"STAT1,STAT3,PIK3CD,CSF2,PIK3CB,PIK3CA,SOS1,STAT5A",0.0005085376324321109
WP4559,pathway_1470,50,9,"CCL2,TGFB3,TLR7,STAT3,IL4,TLR8,TLR4,TGFB1,TGFB2",0.0005235397200387774
path:hsa00052,pathway_292,31,7,"GAA,UGP2,GLA,PFKM,GALT,LALBA,PFKL",0.0005241747708089992
WP4912,pathway_1562,31,7,"IFNA1,TLR3,STAT1,IRF3,STAT2,TBK1,ACE2",0.0005241747708089992
R-HSA-198203,pathway_2907,9,4,"IRS2,PIK3CB,NGF,PIK3CA",0.000531947535065168
path:hsa04922,pathway_174,107,14,"AKT3,GCGR,LDHAL6B,PYGM,LDHAL6A,AKT2,GNAS,SIRT1,PFKM,LDHC,AKT1,PPARGC1A,PFKL,FOXO1",0.0005535421528857069
,pathway_2414,107,14,"NT5C1B,NT5C2,PDE6C,PDE2A,PDE10A,GUCY1A2,APRT,PDE6B,PDE4D,ENTPD1,PDE4B,PDE4C,XDH,PDE7B",0.0005535421528857069
WP4963,pathway_1583,72,11,"PTEN,LIF,NCF2,CDKN1A,BTG2,POLH,PML,BAX,CCL2,APAF1,POLK",0.0005698534709983512
path:hsa03060,pathway_19,23,6,"SRP19,SRP68,SRP9,SRP72,SRP14,SRP54",0.000577654512336956
WP712,pathway_1649,23,6,"BCL2,BRAF,GNAS,PIK3CA,AKT1,SP1",0.000577654512336956
WP2036,pathway_1111,41,8,"TNFSF12,AKT2,IL6,CASP7,CCL2,TNF,AKT1,CASP8",0.0006057585044229161
R-HSA-163841,pathway_4472,41,8,"F7,F9,F10,STS,F8,PROS1,PROC,F2",0.0006057585044229161
path:hsa05219,pathway_72,41,8,"TP53,MMP1,CDKN1A,EGF,CCND1,BRAF,MMP2,CDH1",0.0006057585044229161
R-HSA-9009391,pathway_2985,73,11,"AKT3,EPGN,MMP1,EGF,CCND1,MMP2,TGFA,AKT2,PIK3CA,MMP3,AKT1",0.000642568466069214
R-HSA-202403,pathway_4182,73,11,"PTEN,LCP2,HLA-DRB5,ENAH,PIK3CB,PIK3CA,TAB2,CD4,LAT,HLA-DRB1,VASP",0.000642568466069214
R-HSA-9607240,pathway_3823,32,7,"AKT3,AKT2,PIK3CA,SOS1,AKT1,STAT5A,ABL2",0.0006436379852782555
WP3982,pathway_1320,32,7,"PTEN,TP53,CASP3,CASP9,BAX,APAF1,CASP8",0.0006436379852782555
path:hsa04613,pathway_181,188,20,"NCF2,TLR2,NCF4,SELPLG,AKT3,TLR8,PIK3CD,AKT2,PIK3CB,PPIF,TLR4,CAMP,TLR7,NCF1,CASP4,PIK3CA,MTOR,ACTG1,ACTB,AKT1",0.0006692407933940655
R-HSA-5686938,pathway_4411,16,5,"TLR2,S100A8,S100A9,TLR1,TLR4",0.0006829469909058939
WP5066,pathway_1602,16,5,"IRS2,FOXA1,PPARGC1B,FASN,FOXO1",0.0006829469909058939
WP4747,pathway_1509,52,9,"TP53,CDH5,CASP3,MYF5,PIK3CA,CCL2,TNF,AKT1,RLF",0.000706058059571965
ecadherin_stabilization_pathway,pathway_3370,42,8,"IGF1,IGF1R,EGF,ENAH,CDH1,MET,HGF,VASP",0.0007174451515132181
WP49,pathway_1557,42,8,"CISH,STAT1,BCL2,MAPT,STAT3,SOS1,AKT1,STAT5A",0.0007174451515132181
,pathway_3554,24,6,"G6PD,RPIA,GPI,PFKM,PFKL,PGD",0.0007394177008738879
,pathway_2434,24,6,"CASP3,CASP9,BAX,FASLG,APAF1,CASP8",0.0007394177008738879
epopathway,pathway_3569,33,7,"STAT1,BCL2,IRS2,TEC,SOS1,BTK,STAT5A",0.0007837046747979031
WP4874,pathway_1548,33,7,"NFE2L2,RPTOR,NFATC2,SIRT1,STIM1,MTOR,SMC1A",0.0007837046747979031
R-HSA-3108232,pathway_2486,177,19,"PML,SP3,AR,SMC3,TP53,TOP1,MITF,HIC1,TDG,SMC6,RNF168,PGR,PPARGC1A,PPARG,SMC1A,SMC5,SP100,PARP1,FOXL2",0.0008085320806491227
path:hsa04110,pathway_76,124,15,"CDC7,TP53,PTTG2,TGFB3,CDC45,SMC1B,SMC3,CDKN1A,FZR1,CCND1,CDC6,TGFB1,CDC26,SMC1A,TGFB2",0.000824869308391638
R-HSA-1500931,pathway_2824,124,15,"CDH5,CDH3,CDH4,CDH13,CDH1,PIK3CB,PIK3CA,CDH2,PARVA,SIRPG,CDH6,CDH24,CDH9,CDH7,VASP",0.000824869308391638
R-HSA-421270,pathway_2686,64,10,"CDH5,CDH3,CDH4,CDH13,CDH1,CDH2,CDH24,CDH6,CDH9,CDH7",0.0008379788376134389
R-HSA-428157,pathway_2778,87,12,"ESYT1,GM2A,UGCG,SMPD1,DEGS1,STS,SPTLC3,GLA,ESYT2,ESYT3,SPTLC2,SPTLC1",0.0008389212137174845
pmlpathway,pathway_2551,10,4,"SP100,TP53,SIRT1,PML",0.0008531979100729938
R-HSA-74749,pathway_3244,10,4,"IRS2,INS,SOS1,INSR",0.0008531979100729938
R-HSA-5685939,pathway_2161,10,4,"POLQ,PARP2,LIG3,PARP1",0.0008531979100729938
R-HSA-418359,pathway_4521,10,4,"ATP2B3,ATP2B4,ATP2B2,ATP2B1",0.0008531979100729938
R-HSA-9020956,pathway_2718,10,4,"IL6ST,STAT1,EBI3,STAT3",0.0008531979100729938
R-HSA-937072,pathway_2883,10,4,"TAB2,TAB1,TLR4,TAB3",0.0008531979100729938
WP3888,pathway_1322,433,36,"MMP10,SDF2L1,ACP1,NCF2,NR4A1,EGR3,STAT1,STAM,NFATC1,PLAU,PTPRZ1,MAPKAPK2,STAT3,MMP2,MAPKAPK5,MAPKAP1,CCL2,FOXO1,PGD,PGF,BCL2,NCF1,MLST8,RICTOR,MKNK1,PIK3CA,MTOR,SRP54,ACTG1,NFATC2,CDH5,TAL1,F3,CCND1,GAPDH,AKT1",0.0008858019596549308
R-HSA-5673001,pathway_3007,235,23,"SPTBN5,ANGPT1,DUSP7,HGF,FGF3,EPGN,BRAF,TGFA,DLG4,DUSP4,PIK3CB,SPTBN4,LAT,DUSP1,MRAS,EGF,IRS2,KITLG,PIK3CA,DUSP10,MET,CSF2,SOS1",0.0008882676359203155
R-HSA-5628897,pathway_3275,76,11,"AKT3,PTEN,TP53,RPTOR,MLST8,G6PD,AKT2,GPI,TP63,MTOR,AKT1",0.0009084824616245124
WP3929,pathway_1333,165,18,"AKT3,CXCL9,PPBP,STAT1,NCF1,CCL26,STAT3,BRAF,STAT2,PIK3CD,AKT2,CCL27,PIK3CG,PIK3CB,PIK3CA,SOS1,AKT1,PF4",0.000909065216169149
path:hsa04914,pathway_356,100,13,"AKT3,IGF1,IGF1R,FZR1,BRAF,PIK3CD,AKT2,PIK3CB,PIK3CA,INS,CDC26,PGR,AKT1",0.0009161458919365887
achpathway,pathway_4038,17,5,"RAPSN,PIK3CA,MUSK,FASLG,AKT1",0.0009297848416344667
PWY66-201,pathway_3824,17,5,"FMO3,FMO5,FMO4,FMO1,FMO2",0.0009297848416344667
R-HSA-5676594,pathway_3687,17,5,"TNFSF12,CD40LG,TNFSF13B,TNFSF11,LTA",0.0009297848416344667
tnfr1pathway,pathway_3951,17,5,"CASP3,CASP2,MADD,TNF,CASP8",0.0009297848416344667
R-HSA-74751,pathway_3419,54,9,"INSR,IRS2,TLR9,AKT2,PIK3CB,PIK3CA,INS,SOS1,FGF3",0.0009373947779328401
WP395,pathway_1313,54,9,"STAT1,STAT3,IRS2,IL4,PIK3CD,PIK3CA,SOS1,AKT1,STAT5A",0.0009373947779328401
R-HSA-5684996,pathway_3245,236,23,"SPTBN5,ANGPT1,DUSP7,HGF,FGF3,EPGN,BRAF,TGFA,DLG4,DUSP4,PIK3CB,SPTBN4,LAT,DUSP1,MRAS,EGF,IRS2,KITLG,PIK3CA,DUSP10,MET,CSF2,SOS1",0.0009410154782049133
WP400,pathway_1352,34,7,"MAPKAPK2,STAT1,MAPKAPK5,MKNK1,TGFBR1,MAP3K1,TGFB2",0.0009467874239003038
,pathway_2672,34,7,"DLD,LDHAL6B,ME2,ME3,LDHC,ME1,LDHD",0.0009467874239003038
WP4241,pathway_1394,34,7,"TGFB3,EPAS1,CDKN1A,FH,TGFA,TGFB1,TGFB2",0.0009467874239003038
cd40_pathway,pathway_3407,34,7,"CD40LG,PIK3CG,PIK3CB,PIK3CA,STAT5A,AKT1,MAP3K1",0.0009467874239003038
R-HSA-512988,pathway_3178,44,8,"PIK3CD,CSF2,PIK3CB,PIK3CA,TEC,SOS1,STAT5A,BLNK",0.000990408162236197
WP2637,pathway_1176,44,8,"MAPKAPK2,TOLLIP,TAB1,MKNK1,TAB2,MKNK2,MAP3K1,TAB3",0.000990408162236197
SMP00070,pathway_995,5,3,"FLAD1,ACP1,RFK",0.0010025630575849803
PWY-5481,pathway_1031,5,3,"LDHAL6A,LDHAL6B,LDHC",0.0010025630575849803
R-HSA-75157,pathway_4282,5,3,"CASP10,CASP8,FASLG",0.0010025630575849803
path:hsa05146,pathway_131,101,13,"TGFB3,CASP3,TLR2,PIK3CD,GNAS,IL6,CSF2,PIK3CB,PIK3CA,TLR4,TGFB1,TNF,TGFB2",0.0010065880999233009
R-HSA-388841,pathway_4288,77,11,"AKT3,MLST8,RICTOR,HLA-DRB5,MAPKAP1,AKT2,PIK3CA,CD4,MTOR,HLA-DRB1,AKT1",0.0010151295134257644
R-HSA-975138,pathway_4319,77,11,"MAPKAPK2,TLR7,PELI1,TLR9,MAPKAPK3,DUSP4,TAB2,DUSP7,TAB1,MAP3K1,TAB3",0.0010151295134257644
R-HSA-446728,pathway_2754,89,12,"CDH5,CDH3,CDH4,CDH13,CDH1,CDH2,CDH24,PARVA,CDH6,CDH9,CDH7,VASP",0.0010293790891897023
WP195,pathway_1093,55,9,"MAPKAPK2,TOLLIP,PELI1,TAB2,CCL2,AKT1,TAB1,MAP3K1,TAB3",0.0010741932701331062
WP2018,pathway_1105,55,9,"STAT1,TAB1,NFATC1,AKT2,TNFSF11,TAB2,AKT1,MTOR,MITF",0.0010741932701331062
R-HSA-975155,pathway_3350,78,11,"MAPKAPK2,TLR7,PELI1,TLR9,MAPKAPK3,DUSP4,TAB2,DUSP7,TAB1,MAP3K1,TAB3",0.001131899291940712
p38alphabetadownstreampathway,pathway_3397,35,7,"MAPKAPK2,TP53,MAPKAPK3,MAPKAPK5,MKNK1,PPARGC1A,MITF",0.001135434830696801
WP4698,pathway_1494,35,7,"NFE2L2,BCL2,G6PD,ATP2B4,ATP2B1,ATP2B3,ATP2B2",0.001135434830696801
path:hsa05410,pathway_83,90,12,"IGF1,ACTC1,TGFB3,SGCG,IL6,ACTB,TGFB1,TNF,ACE,ACTG1,SGCA,TGFB2",0.0011373062119934881
a6b1_a6b4_integrin_pathway,pathway_3504,45,8,"MST1R,EGF,CDH1,CASP7,PIK3CA,MET,AKT1,MST1",0.0011549981794079876
WP534,pathway_1614,45,8,"DLD,LDHAL6B,GAPDH,MDH2,GPI,PFKM,LDHC,PFKL",0.0011549981794079876
path:hsa04950,pathway_160,26,6,"PAX6,BHLHA15,NEUROD1,IAPP,INS,RFX6",0.0011658397265384753
R-HSA-418360,pathway_4522,26,6,"TRPC7,STIM1,ATP2B4,ATP2B1,ATP2B3,ATP2B2",0.0011658397265384753
R-HSA-5357769,pathway_3145,26,6,"CASP3,CASP9,TNFSF10,TLR4,FASLG,CASP8",0.0011658397265384753
WP1984,pathway_1099,67,10,"CASP3,CASP9,BAX,BRCA2,CDH1,TFPI,MTOR,CASP8,FOXO1,SP1",0.0012064946069745357
Pathway_AndrogenReceptor,pathway_3296,142,16,"PTEN,CASP3,STAT3,TOP1,IL6ST,FOXA1,CCND1,RCHY1,CDK9,AR,SIRT1,CASP7,PARP1,AKT1,CASP8,SP1",0.0012164971019218858
R-HSA-5357956,pathway_4325,18,5,"RBCK1,TAB2,TNF,TAB1,TAB3",0.0012372618909166002
R-HSA-1839117,pathway_4457,18,5,"STAT1,CUX1,STAT3,PIK3CA,STAT5A",0.0012372618909166002
WP2813,pathway_1185,18,5,"CCND1,CDH1,TGFB1,TNF,AKT1",0.0012372618909166002
R-HSA-447115,pathway_3283,18,5,"STAT1,EBI3,STAT4,STAT3,IL6ST",0.0012372618909166002
path:hsa00230,pathway_258,129,15,"NT5C1B,NT5C2,PDE6C,PDE2A,PDE10A,GUCY1A2,APRT,PDE6B,PDE4D,ENTPD1,PDE4B,PDE4C,PDE11A,XDH,PDE7B",0.0012411546253844209
R-HSA-2219530,pathway_1980,79,11,"EPGN,EGF,IRS2,TGFA,PIK3CD,KITLG,PIK3CB,PIK3CA,MET,HGF,FGF3",0.0012595081353735228
R-HSA-1059683,pathway_4534,11,4,"IL6ST,IL6,STAT1,STAT3",0.0012903435401135789
insulinpathway,pathway_3866,11,4,"PIK3CA,INS,SOS1,INSR",0.0012903435401135789
R-HSA-1660662,pathway_2777,46,8,"ESYT1,GM2A,UGCG,SMPD1,STS,ESYT2,GLA,ESYT3",0.0013406781227938247
WP4566,pathway_1476,46,8,"AKT3,RPTOR,AKT2,PIK3CG,PIK3CB,PIK3CA,AKT1,MTOR",0.0013406781227938247
WP3614,pathway_1261,36,7,"TP53,TGFB3,ANGPT2,TGFA,BAX,ANGPT1,PFKL",0.0013523259462091103
WP2355,pathway_1143,92,12,"NR4A1,BCL2,CASP3,CASP9,BRAF,GNAS,ECE1,TLR4,TGFB1,PARP1,AKT1,SP1",0.0013814038472234993
R-HSA-168138,pathway_2837,80,11,"MAPKAPK2,TLR7,PELI1,TLR9,MAPKAPK3,DUSP4,TAB2,DUSP7,TAB1,MAP3K1,TAB3",0.0013987027218897153
WP2380,pathway_1151,144,16,"BDNF,STAT1,NCF1,NCF2,MAPT,IRS2,CASP3,STAT3,NFATC4,NGF,CDH2,BCL2L11,STAT5A,AKT1,MTOR,MAP3K1",0.0014108806785922967
WP4008,pathway_1353,47,8,"TSPO,PPID,BCL2,CASP9,DLG4,PDE2A,GUCY1A2,TNF",0.001549314365590748
R-HSA-1226099,pathway_1697,47,8,"ERLIN2,STAT1,CUX1,STAT3,PIK3CA,SOS1,STAT5A,FGF3",0.001549314365590748
WP1541,pathway_1080,47,8,"PPRC1,PPARG,SIRT3,SIRT1,GABPA,PPARGC1B,PPARGC1A,FOXO1",0.001549314365590748
met_pathway,pathway_4251,81,11,"RPTOR,MLST8,AKT2,CDH1,PIK3CA,MET,SOS1,AKT1,MTOR,MAP3K1,HGF",0.0015502600046892977
WP366,pathway_1279,132,15,"TP53,MMP1,ATF3,CDKN1A,DCP1A,CCND1,PML,MET,SOS1,TGFB1,TGFBR1,AKT1,APP,TAB1,SP1",0.0015668410647378388
WP4549,pathway_1466,119,14,"PTEN,RPTOR,BDNF,APP,MLST8,PRKAR1A,DICER1,DLG4,MKNK1,BRAF,PIK3CB,SOS1,AKT1,MTOR",0.001590476200971579
il2_pi3kpathway,pathway_3971,37,7,"BCL2,UGCG,SMPD1,PIK3CA,SOS1,AKT1,MTOR",0.00160026379620307
WP391,pathway_1327,19,5,"PPRC1,GABPA,PPARGC1B,PPARGC1A,SP1",0.0016138369034062396
WP481,pathway_1533,160,17,"PTEN,IGF1R,INSR,IRS2,PIK3CD,AKT2,PIK3CG,PFKM,PIK3CB,MAP3K1,SOS1,IRS4,PIK3CA,AKT1,MTOR,PFKL,FOXO1",0.0016634001848761192
path:hsa04350,pathway_36,94,12,"GDF7,NODAL,TGFB3,TGFB2,HAMP,AMHR2,AMH,GDF6,TGFBR1,TGFB1,TNF,SP1",0.0016672258309877717
path:hsa04622,pathway_203,70,10,"IFNA1,TBKBP1,IFNK,CYLD,TBK1,TNF,IRF3,MAP3K1,CASP8,CASP10",0.0016975497244474532
Pathway_Prolactin,pathway_1726,70,10,"CISH,STAT1,STAT3,CCND1,PPIB,TEC,CAMLG,AKT1,STAT5A,PPIA",0.0016975497244474532
WP179,pathway_1045,120,14,"CDC7,TP53,PTTG2,TGFB3,CDC45,SMC1B,CDKN1A,FZR1,TGFB1,CCND1,CDC6,SMC3,SMC1A,TGFB2",0.0017234850538513631
WP4239,pathway_1392,161,17,"AKT3,PKD1,TP53,TGFB3,MMP2,PIK3CD,AKT2,CDH1,PIK3CB,FOXC2,SOS1,TGFB1,PIK3CA,CDH2,TGFBR1,AKT1,TGFB2",0.0017793780842920944
il2rbpathway,pathway_4018,48,8,"BCL2,CCND1,PIK3CA,SOS1,FASLG,AKT1,STAT5A,PPIA",0.0017828526574275516
